row_type,category,subcategory,supplier_name,contract_id,request_title,contract_end_date,months_to_expiry,estimated_spend_usd,implementation_timeline_months,preferred_supplier_status
renewal,IT Infrastructure,IT Infrastructure - Personal Computers,Carbon Technologies Llc,C2024020733,,2027-06-30,14,1000000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Containerisation Platform Rollout,,,2800000,8,preferred
new_business,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,,,Smartphone Refresh Programme,,,890000,5,allowed
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,Orange Business Services Singapore,C2024029456,,2027-12-31,21,96262,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Amazon Web Services Llc,C2025050667,,2027-10-15,18,2018149,,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Quantum Integrators Group Llc,C2024017138,,2027-07-09,15,4000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Ionix Inc,C2025051348,,2028-04-01,24,1025275,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Oracle America,C2025042085,,2027-02-28,10,5250000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Mira Consulting Gmbh,C2019020746,,2026-12-01,7,152539,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Hcl Technologies Limited,C2023000505,,2027-12-31,21,11855034,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Campus Network Refresh,,,2100000,9,preferred
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Next-Gen Firewall Implementation,,,2200000,6,preferred
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Zoom Video Communications Inc,C2025054606,,2026-12-29,8,1345962,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Teradata Operations Inc,C2023013651,,2026-07-26,3,9278755,,allowed
new_business,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,,,Enterprise Mobility Management,,,1350000,7,preferred
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Virtual Desktop Infrastructure Rollout,,,4100000,12,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Netconnect Bvba,C2019025991,,2026-06-30,2.0,1760066,999.0,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Ibm,C2023027260,,2026-12-31,0.0,11090520,,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Ibm,C2023025092,,2026-12-31,8,9025317,,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Databricks Inc,C2025051767,,2026-12-31,8,144144,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Xerox Ag,C2023000133,,2026-12-01,7,1161891,,allowed
