row_type,category,subcategory,supplier_name,contract_id,request_title,contract_end_date,months_to_expiry,estimated_spend_usd,implementation_timeline_months,preferred_supplier_status
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Equinix Inc,C2023025387,,2026-11-14,7,84000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Bluevoyant Llc,C2024019089,,2027-12-31,21,1200000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Zoom Video Communications Inc,C2025054606,,2026-12-29,8,1345962,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Beyondtrust Corporation,C2021028341,,2027-03-20,11,1500000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Microsoft Corporation,C2019007421,,2026-12-31,8,34514400,,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Hcl Technologies Limited,C2023000505,,2027-12-31,21.0,11855034,,allowed
new_business,IT Infrastructure,IT Infrastructure - Print Services,,,Document Destruction Services,,,175000,3,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Access Information Management Of Ge,C2025053206,,2026-12-31,8,55697,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Processunity Inc.,C2024022671,,2027-12-31,21,1348750,,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Computers,Markit Holding As,C2025032990,,2028-03-31,24,880033,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,"Amazon Web Services, Llc.",C2025040935,,2026-05-09,1,399996,,preferred
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Gigil Tech,C2022027045,,2027-08-31,16,420000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Freightwatch International Usa Inc,C2023017135,,2026-07-31,3,3000000,,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Amazon Web Services Inc,C2025053572,,2026-11-21,7,2086758,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,"Mss Technologies, Llc",C2020011368,,2026-06-15,2,700000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Bluevoyant Llc,C2024028743,,2028-01-05,21,1200000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Print Services,,,Multifunction Device Refresh,,,380000,5,preferred
new_business,IT Infrastructure,IT Infrastructure - Help Desk Services,,,Digital Experience Centre Setup,,,2800000,6.0,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Aifa Labs Llc,C2025047867,,2026-08-31,4,220000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Dell Marketing Lp,C2024021420,,2027-03-20,11,3000000,,preferred
new_business,IT Infrastructure,IT Infrastructure - Network Transport Data/Voice,,,Internet Bandwidth Expansion - LATAM,,,590000,5,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,"Netapp, Inc",C2018023928,,2027-09-30,18.0,15000000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Vulnerability Management Tool,,,2200000,5,preferred
new_business,IT Infrastructure,IT Infrastructure - Personal Computers,,,Tablet Procurement - Field Sales,,,780000,3,preferred
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Privileged Access Management Solution,,,3100000,7,preferred
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Identity Governance & Administration,,,2900000,9,preferred
new_business,IT Infrastructure,IT Infrastructure - Personal Computers,,,Desktop PC Refresh - HQ,,,1500000,7,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,"System Loco, Ltd",C2022014094,,2027-05-31,13,2000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Vmware Inc,C2024024426,,2027-10-28,18,1000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Freightwatch International Usa Inc.,C2023020453,,2026-07-31,3,3000000,,preferred
renewal,IT Infrastructure,IT Infrastructure - Print Services,Aci,C2020009384,,2026-08-04,3,116226,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Cloud Storage Capacity Expansion,,,3200000,8,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Kydea S.R.L.,C2024001581,,2026-12-31,8,3549467,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Next-Gen Firewall Implementation,,,2200000,6,preferred
renewal,IT Infrastructure,IT Infrastructure - Print Services,Iron Mountain Informationmanagement,C2025053498,,2026-12-31,8,132072,,preferred
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Vodafone Global Enterprise Limited,C2023029136,,2026-12-31,8,878430,,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,"Tanium, Inc.",C2018022201,,2028-01-31,22,5382000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Colocation Services Procurement,,,1800000,10,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Teradata Operations Inc,C2023013651,,2026-07-26,3,9278755,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Mandiant Inc,C2025047733,,2026-07-31,3,78000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Wireless Access Point Rollout,,,1200000,7,preferred
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Microsoft Corporation,C2023000832,,2028-01-18,21,3960554,,preferred
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,Telmex Usa L.L.C.,C2022032471,,2027-11-26,19,1250000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Computers,Lenovo Group - Central Ordering,C2018018313,,2028-04-01,24,120000000,,preferred
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Microsoft Corporation,C2018002843,,2026-12-30,8.0,30000000,,preferred
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Vodafone Global Enterprise Limited,C2020013661,,2026-06-30,2,410682,,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,"General Telecom Services, Inc.",C2024014678,,2027-10-15,18,500000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Recurv Bv,C2025041816,,2028-03-31,24,5866888,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Quantum Integrators Group Llc,C2024017138,,2027-07-09,15,4000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Tufin Software North America Inc,C2022022968,,2027-08-31,16,1423689,,allowed
new_business,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,,,MDM Platform Implementation,,,950000,5,preferred
